datetime,maxPersonCount,personCount,free,used,dayOfWeek,dayOfWeekName,date,time
14/01/2025 19:15:01,312,49,84,16,2,Tuesday,14/01/2025,19:15:01
14/01/2025 19:30:02,312,47,85,15,2,Tuesday,14/01/2025,19:30:02
14/01/2025 19:45:01,312,47,85,15,2,Tuesday,14/01/2025,19:45:01
14/01/2025 20:00:01,312,49,84,16,2,Tuesday,14/01/2025,20:00:01
14/01/2025 20:15:01,312,39,88,12,2,Tuesday,14/01/2025,20:15:01
14/01/2025 20:30:01,312,31,90,10,2,Tuesday,14/01/2025,20:30:01
14/01/2025 20:45:01,312,33,89,11,2,Tuesday,14/01/2025,20:45:01
14/01/2025 21:00:01,312,40,87,13,2,Tuesday,14/01/2025,21:00:01
14/01/2025 21:15:01,312,33,89,11,2,Tuesday,14/01/2025,21:15:01
14/01/2025 21:30:01,312,29,91,9,2,Tuesday,14/01/2025,21:30:01
14/01/2025 21:45:02,312,26,92,8,2,Tuesday,14/01/2025,21:45:02
14/01/2025 22:00:02,312,18,94,6,2,Tuesday,14/01/2025,22:00:02
14/01/2025 22:15:02,312,5,98,2,2,Tuesday,14/01/2025,22:15:02
14/01/2025 22:30:01,312,5,98,2,2,Tuesday,14/01/2025,22:30:01
14/01/2025 22:45:01,312,5,98,2,2,Tuesday,14/01/2025,22:45:01
14/01/2025 23:00:01,312,5,98,2,2,Tuesday,14/01/2025,23:00:01
14/01/2025 23:15:01,312,5,98,2,2,Tuesday,14/01/2025,23:15:01
14/01/2025 23:30:01,312,5,98,2,2,Tuesday,14/01/2025,23:30:01
14/01/2025 23:45:01,312,5,98,2,2,Tuesday,14/01/2025,23:45:01
15/01/2025 07:00:01,312,0,100,0,3,Wednesday,15/01/2025,07:00:01
15/01/2025 07:15:01,312,0,100,0,3,Wednesday,15/01/2025,07:15:01
15/01/2025 07:30:01,312,0,100,0,3,Wednesday,15/01/2025,07:30:01
15/01/2025 07:45:01,312,0,100,0,3,Wednesday,15/01/2025,07:45:01
15/01/2025 08:00:01,312,0,100,0,3,Wednesday,15/01/2025,08:00:01
15/01/2025 08:15:02,312,56,82,18,3,Wednesday,15/01/2025,08:15:02
15/01/2025 08:30:01,312,59,81,19,3,Wednesday,15/01/2025,08:30:01
15/01/2025 08:45:01,312,59,81,19,3,Wednesday,15/01/2025,08:45:01
15/01/2025 09:00:01,312,59,81,19,3,Wednesday,15/01/2025,09:00:01
15/01/2025 09:15:01,312,51,84,16,3,Wednesday,15/01/2025,09:15:01
15/01/2025 09:30:01,312,17,95,5,3,Wednesday,15/01/2025,09:30:01
15/01/2025 09:45:01,312,17,95,5,3,Wednesday,15/01/2025,09:45:01
15/01/2025 10:00:01,312,21,93,7,3,Wednesday,15/01/2025,10:00:01
15/01/2025 10:15:01,312,33,89,11,3,Wednesday,15/01/2025,10:15:01
15/01/2025 10:30:01,312,37,88,12,3,Wednesday,15/01/2025,10:30:01
15/01/2025 10:45:02,312,37,88,12,3,Wednesday,15/01/2025,10:45:02
15/01/2025 11:00:01,312,35,89,11,3,Wednesday,15/01/2025,11:00:01
15/01/2025 11:15:01,312,32,90,10,3,Wednesday,15/01/2025,11:15:01
15/01/2025 11:30:01,312,30,90,10,3,Wednesday,15/01/2025,11:30:01
